,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
61,8D3,2014-01-01 01:56,-14.98,77.24,9.2,1034.60,0.0,M,M,M,M,M
62,FSD,2014-01-01 01:56,-0.94,78.62,10.4,1028.40,0.0,9.00,M,OVC,M,M
63,2WX,2014-01-01 01:56,6.98,79.35,11.5,1019.20,0.0,M,M,M,M,M
64,D07,2014-01-01 01:56,1.94,83.04,9.2,1024.30,0.03,M,M,M,M,M
65,RCA,2014-01-01 01:58,15.08,86.04,5.8,1019.10,0.0,10.00,M,SCT,BKN,BKN
66,PIR,2014-01-01 02:00,1.40,77.49,17.3,M,0.0,1.00,M,VV ,M,M
67,RCA,2014-01-01 02:01,15.80,85.40,6.9,M,0.0,10.00,M,BKN,BKN,BKN
68,RCA,2014-01-01 02:02,15.80,85.40,6.9,M,0.0,10.00,M,FEW,BKN,BKN
69,MBG,2014-01-01 02:03,-7.60,76.59,12.7,M,0.0,2.00,M,OVC,M,M
70,MHE,2014-01-01 02:05,3.20,77.67,13.8,M,0.0,10.00,M,OVC,M,M
71,RCA,2014-01-01 02:07,15.80,85.40,6.9,M,0.0,10.00,M,FEW,SCT,BKN
72,PHP,2014-01-01 02:10,10.40,85.05,10.4,M,0.0,2.50,M,OVC,M,M
73,MDS,2014-01-01 02:10,-5.80,83.91,13.8,M,0.0,10.00,M,OVC,M,M
74,SPF,2014-01-01 02:15,19.40,92.57,3.5,M,0.05,3.00,M,SCT,BKN,M
75,YKN,2014-01-01 02:15,6.80,71.71,12.7,M,0.0,10.00,M,OVC,M,M
76,MBG,2014-01-01 02:17,-5.80,70.19,13.8,M,0.0,3.00,M,OVC,M,M
77,RCA,2014-01-01 02:17,15.80,85.40,4.6,M,0.0,10.00,M,SCT,BKN,OVC
78,RCA,2014-01-01 02:27,15.80,85.40,5.8,M,0.0,4.00,M,BKN,BKN,BKN
79,PIR,2014-01-01 02:29,-0.40,84.30,18.4,M,0.01,0.75,M,VV ,M,M
80,PHP,2014-01-01 02:30,10.40,85.05,11.5,M,0.01,1.25,M,BKN,OVC,M
81,MDS,2014-01-01 02:30,-5.80,83.91,16.1,M,0.0,10.00,M,OVC,M,M
82,ICR,2014-01-01 02:34,10.40,78.35,11.5,M,0.0,2.50,M,OVC,M,M
83,PHP,2014-01-01 02:34,10.40,85.05,10.4,M,0.02,0.75,M,BKN,OVC,M
84,SPF,2014-01-01 02:35,15.80,92.44,3.5,M,0.07,4.00,M,BKN,BKN,BKN
85,YKN,2014-01-01 02:35,6.80,78.01,11.5,M,0.0,10.00,M,OVC,M,M
86,RAP,2014-01-01 02:43,15.80,85.40,4.6,M,0.0,5.00,M,BKN,BKN,OVC
87,ABR,2014-01-01 02:45,-11.20,69.50,10.4,M,0.0,2.50,M,OVC,M,M
88,RCA,2014-01-01 02:47,15.80,85.40,4.6,M,0.0,5.00,M,SCT,SCT,OVC
89,MDS,2014-01-01 02:50,-5.80,83.91,15.0,M,0.0,10.00,M,OVC,M,M
90,PHP,2014-01-01 02:50,10.94,83.71,11.5,1021.90,0.03,2.50,M,BKN,OVC,M
91,9V9,2014-01-01 02:52,6.08,79.27,15.0,1025.00,0.0,M,M,M,M,M
92,RAP,2014-01-01 02:52,15.08,87.42,4.6,1019.70,0.0,5.00,M,SCT,OVC,M
93,MBG,2014-01-01 02:52,-7.06,74.60,8.1,1027.70,0.0,3.00,M,OVC,M,M
94,IEN,2014-01-01 02:52,26.06,84.10,0.0,1015.10,0.0,10.00,M,CLR,M,M
95,ICR,2014-01-01 02:53,10.04,79.62,12.7,1022.90,0.0,2.00,M,OVC,M,M
96,PIR,2014-01-01 02:53,-0.94,82.11,16.1,1025.30,0.01,1.00,M,VV ,M,M
97,ATY,2014-01-01 02:53,-11.02,70.17,8.1,1029.40,0.0,10.00,M,SCT,OVC,M
98,ABR,2014-01-01 02:53,-11.92,73.38,11.5,1031.00,0.0,2.00,M,OVC,M,M
99,MHE,2014-01-01 02:53,3.02,75.68,11.5,1027.00,0.0,10.00,M,OVC,M,M
100,CUT,2014-01-01 02:53,30.92,72.12,0.0,1011.60,0.0,10.00,M,FEW,BKN,M
101,MBG,2014-01-01 02:55,-7.60,76.59,10.4,M,0.0,2.50,M,OVC,M,M
102,HON,2014-01-01 02:55,-4.00,71.04,13.8,1028.40,0.0,5.00,M,OVC,M,M
103,PHP,2014-01-01 02:55,10.40,85.05,13.8,M,0.0,4.00,M,SCT,OVC,M
104,YKN,2014-01-01 02:55,5.00,77.84,15.0,M,0.0,10.00,M,OVC,M,M
105,SPF,2014-01-01 02:55,15.80,92.44,0.0,M,0.11,3.00,M,BKN,OVC,M
106,2WX,2014-01-01 02:56,6.98,79.35,11.5,1020.10,0.0,M,M,M,M,M
107,8D3,2014-01-01 02:56,-14.98,73.71,6.9,1034.80,0.0,M,M,M,M,M
108,D07,2014-01-01 02:56,1.94,79.57,11.5,1024.00,0.0,M,M,M,M,M
109,FSD,2014-01-01 02:56,-2.02,78.52,12.7,1028.10,0.0,9.00,M,OVC,M,M
110,RCA,2014-01-01 02:58,15.08,86.73,3.5,1020.20,0.0,5.00,M,FEW,OVC,M
111,RAP,2014-01-01 03:05,15.80,85.40,3.5,M,0.0,1.75,M,FEW,BKN,OVC
112,ICR,2014-01-01 03:07,10.40,78.35,11.5,M,0.0,1.25,M,BKN,OVC,M
113,MBG,2014-01-01 03:08,-7.60,69.96,10.4,M,0.0,1.75,M,OVC,M,M
114,MDS,2014-01-01 03:10,-5.80,83.91,13.8,M,0.0,10.00,M,OVC,M,M
115,ABR,2014-01-01 03:12,-13.00,76.02,11.5,M,0.0,3.00,M,OVC,M,M
116,PHP,2014-01-01 03:13,10.40,78.35,12.7,M,0.0,2.00,M,OVC,M,M
117,RAP,2014-01-01 03:14,15.80,85.40,3.5,M,0.01,2.00,M,BKN,OVC,M
118,PIR,2014-01-01 03:15,-0.40,77.32,19.6,M,0.0,1.25,M,OVC,M,M
119,SPF,2014-01-01 03:15,17.60,92.50,5.8,M,0.02,5.00,M,OVC,M,M
120,YKN,2014-01-01 03:15,5.00,77.84,13.8,M,0.0,10.00,M,BKN,M,M
121,MBG,2014-01-01 03:18,-7.60,76.59,10.4,M,0.0,3.00,M,SCT,OVC,M
122,RCA,2014-01-01 03:22,14.00,92.38,4.6,M,0.0,9.00,M,SCT,BKN,BKN
123,ICR,2014-01-01 03:24,10.40,78.35,11.5,M,0.0,1.50,M,OVC,M,M
124,RAP,2014-01-01 03:25,15.80,85.40,5.8,M,0.01,5.00,M,BKN,BKN,OVC
125,MDS,2014-01-01 03:30,-5.80,83.91,16.1,M,0.0,10.00,M,FEW,OVC,M
126,RCA,2014-01-01 03:32,14.00,85.28,6.9,M,0.0,9.00,M,BKN,OVC,M
127,HON,2014-01-01 03:33,-4.00,70.41,9.2,M,0.0,2.50,M,OVC,M,M
128,YKN,2014-01-01 03:35,5.00,77.84,11.5,M,0.0,10.00,M,OVC,M,M
129,SPF,2014-01-01 03:35,17.60,92.50,3.5,M,0.03,5.00,M,BKN,M,M
130,RCA,2014-01-01 03:37,14.00,85.28,5.8,M,0.0,9.00,M,BKN,OVC,M
131,PHP,2014-01-01 03:41,8.60,78.18,11.5,M,0.01,2.50,M,FEW,OVC,M
132,RCA,2014-01-01 03:42,14.00,85.28,4.6,M,0.0,9.00,M,BKN,OVC,M
133,HON,2014-01-01 03:44,-5.80,76.77,10.4,M,0.01,1.50,M,OVC,M,M
134,RAP,2014-01-01 03:47,15.80,78.84,5.8,M,0.01,9.00,M,BKN,OVC,M
135,RCA,2014-01-01 03:47,14.00,85.28,4.6,M,0.0,10.00,M,SCT,BKN,OVC
136,MHE,2014-01-01 03:47,1.40,84.43,11.5,M,0.0,1.75,M,OVC,M,M
137,ABR,2014-01-01 03:48,-13.00,76.02,9.2,M,0.01,2.50,M,OVC,M,M
138,MDS,2014-01-01 03:50,-5.80,83.91,15.0,M,0.0,10.00,M,FEW,OVC,M
139,MBG,2014-01-01 03:52,-5.08,64.22,16.1,1026.40,0.01,7.00,M,OVC,M,M
140,9V9,2014-01-01 03:52,5.00,79.17,15.0,1025.10,0.03,M,M,M,M,M
141,RAP,2014-01-01 03:52,14.00,83.92,5.8,1020.30,0.01,10.00,M,BKN,OVC,M
142,RCA,2014-01-01 03:52,14.00,85.28,3.5,M,0.0,10.00,M,BKN,OVC,M
143,IEN,2014-01-01 03:52,21.92,91.94,5.8,1015.60,0.0,10.00,M,BKN,M,M
144,ATY,2014-01-01 03:53,-11.02,74.16,6.9,1029.50,0.0,10.00,M,OVC,M,M
145,ICR,2014-01-01 03:53,8.96,79.52,10.4,1023.00,0.0,1.25,M,BKN,OVC,M
146,MHE,2014-01-01 03:53,1.94,79.57,10.4,1027.50,0.0,1.75,M,OVC,M,M
147,CUT,2014-01-01 03:53,30.92,72.12,0.0,1011.90,0.0,10.00,M,FEW,BKN,OVC
148,ABR,2014-01-01 03:53,-11.92,73.38,6.9,1031.90,0.01,2.00,M,OVC,M,M
149,PIR,2014-01-01 03:53,-2.02,78.52,13.8,1025.70,0.0,1.50,M,OVC,M,M
150,HON,2014-01-01 03:55,-5.08,74.82,10.4,1028.90,0.01,1.75,M,OVC,M,M
151,SPF,2014-01-01 03:55,19.40,92.57,4.6,M,0.04,10.00,M,BKN,M,M
152,YKN,2014-01-01 03:55,5.00,77.84,13.8,M,0.0,10.00,M,OVC,M,M
153,PHP,2014-01-01 03:55,8.96,79.52,13.8,1022.30,0.01,2.00,M,OVC,M,M
154,2WX,2014-01-01 03:56,6.98,79.35,9.2,1020.30,0.0,M,M,M,M,M
155,8D3,2014-01-01 03:56,-14.08,73.81,5.8,1034.80,0.0,M,M,M,M,M
156,FSD,2014-01-01 03:56,-2.92,78.43,15.0,1027.40,0.0,9.00,M,OVC,M,M
157,D07,2014-01-01 03:56,1.04,78.80,11.5,1024.50,0.0,M,M,M,M,M
158,RCA,2014-01-01 03:57,14.00,85.28,2.3,M,0.0,10.00,M,SCT,OVC,M
159,RCA,2014-01-01 03:58,14.00,85.28,2.3,1020.50,0.0,10.00,M,SCT,OVC,M
160,ABR,2014-01-01 04:01,-13.00,76.02,8.1,M,0.0,2.00,M,OVC,M,M
161,RAP,2014-01-01 04:01,14.00,85.28,5.8,M,0.0,10.00,M,OVC,M,M
162,RCA,2014-01-01 04:03,14.00,85.28,3.5,M,0.0,9.00,M,FEW,OVC,M
163,PIR,2014-01-01 04:05,-2.20,77.14,18.4,M,0.0,2.50,M,BKN,OVC,M
164,PHP,2014-01-01 04:07,8.60,78.18,15.0,M,0.0,5.00,M,OVC,M,M
165,MDS,2014-01-01 04:10,-5.80,83.91,15.0,M,0.0,10.00,M,FEW,OVC,M
166,PIR,2014-01-01 04:12,-2.20,77.14,16.1,M,0.0,2.50,M,BKN,OVC,M
167,RCA,2014-01-01 04:13,14.00,85.28,4.6,M,0.0,9.00,M,BKN,OVC,M
168,YKN,2014-01-01 04:15,5.00,84.68,13.8,M,0.0,10.00,M,OVC,M,M
169,SPF,2014-01-01 04:15,24.80,92.74,10.4,M,0.0,10.00,M,OVC,M,M
170,ICR,2014-01-01 04:19,8.60,78.18,10.4,M,0.01,1.00,M,BKN,OVC,M
171,ABR,2014-01-01 04:20,-13.00,76.02,6.9,M,0.0,1.75,M,OVC,M,M
172,ICR,2014-01-01 04:26,8.60,78.18,9.2,M,0.01,0.75,M,VV ,M,M
173,RAP,2014-01-01 04:28,15.80,78.84,3.5,M,0.0,10.00,M,SCT,SCT,OVC
174,MDS,2014-01-01 04:30,-5.80,83.91,16.1,M,0.0,9.00,M,BKN,BKN,OVC
175,HON,2014-01-01 04:31,-5.80,76.77,10.4,M,0.01,2.00,M,OVC,M,M
176,SPF,2014-01-01 04:35,17.60,100.00,9.2,M,0.0,9.00,M,OVC,M,M
177,YKN,2014-01-01 04:35,5.00,77.84,13.8,M,0.0,10.00,M,BKN,M,M
178,PIR,2014-01-01 04:36,-2.20,77.14,17.3,M,0.0,1.75,M,OVC,M,M
179,ICR,2014-01-01 04:37,8.60,78.18,11.5,M,0.01,1.25,M,OVC,M,M
180,RCA,2014-01-01 04:43,12.20,92.32,9.2,M,0.0,10.00,M,SCT,OVC,M
181,ICR,2014-01-01 04:46,8.60,78.18,10.4,M,0.01,1.50,M,OVC,M,M
182,RCA,2014-01-01 04:48,12.20,92.32,10.4,M,0.0,10.00,M,BKN,OVC,M
183,HON,2014-01-01 04:49,-5.80,76.77,10.4,M,0.01,1.75,M,OVC,M,M
184,MDS,2014-01-01 04:50,-7.60,91.57,15.0,M,0.05,1.75,M,BKN,OVC,M
185,MBG,2014-01-01 04:52,-7.06,70.67,8.1,M,0.0,10.00,M,OVC,M,M
186,RAP,2014-01-01 04:52,15.08,83.33,6.9,1021.00,0.0,10.00,M,BKN,OVC,M
187,9V9,2014-01-01 04:52,3.92,83.19,10.4,1025.80,0.07,M,M,M,M,M
188,IEN,2014-01-01 04:52,24.08,83.96,6.9,1016.60,0.0,10.00,M,SCT,BKN,OVC
189,ATY,2014-01-01 04:53,-11.02,74.16,6.9,1029.50,0.0,9.00,M,OVC,M,M
190,ICR,2014-01-01 04:53,8.06,79.44,10.4,1023.50,0.02,1.50,M,OVC,M,M
191,CUT,2014-01-01 04:53,35.06,69.40,3.5,1011.70,0.0,10.00,M,FEW,SCT,OVC
192,ABR,2014-01-01 04:53,-13.00,77.44,9.2,1031.60,0.01,2.00,M,BKN,OVC,M
193,PIR,2014-01-01 04:53,-2.92,78.43,15.0,1026.80,0.0,1.50,M,BKN,OVC,M
