,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
63,OXB,2014-01-01 01:53,35.06,49.30,4.6,1025.70,0.0,10.00,M,CLR,M,M
64,HGR,2014-01-01 01:53,26.96,54.95,9.2,1027.00,0.0,10.00,M,CLR,M,M
65,ESN,2014-01-01 01:53,35.60,51.33,9.2,M,0.0,10.00,M,CLR,M,M
66,NUI,2014-01-01 01:53,37.04,49.62,0.0,1026.30,0.0,10.00,M,CLR,M,M
67,DMH,2014-01-01 01:54,33.08,44.92,M,1026.10,0.0,M,M,M,M,M
68,RSP,2014-01-01 01:54,21.92,62.13,16.1,M,0.0,10.00,32.2,CLR,M,M
69,BWI,2014-01-01 01:54,30.02,53.29,5.8,1026.40,0.0,10.00,M,CLR,M,M
70,SBY,2014-01-01 01:54,35.96,49.83,0.0,1026.30,0.0,10.00,M,CLR,M,M
71,NAK,2014-01-01 01:54,33.98,51.47,8.1,1026.80,0.0,10.00,M,CLR,M,M
72,GAI,2014-01-01 01:55,28.40,58.75,0.0,M,0.0,10.00,M,CLR,M,M
73,MTN,2014-01-01 01:55,28.40,63.51,0.0,M,0.0,10.00,M,CLR,M,M
74,ADW,2014-01-01 01:58,32.90,44.89,9.2,1026.70,0.0,10.00,M,CLR,M,M
75,2G4,2014-01-01 02:00,19.40,79.16,10.4,M,0.0,10.00,18.4,SCT,M,M
76,FDK,2014-01-01 02:00,32.00,59.27,4.6,M,0.0,10.00,M,CLR,M,M
77,DMW,2014-01-01 02:00,26.60,58.49,8.1,M,0.0,10.00,M,CLR,M,M
78,CGS,2014-01-01 02:00,34.16,46.18,5.8,M,0.0,10.00,M,CLR,M,M
79,2W6,2014-01-01 02:02,33.80,55.14,3.5,M,0.0,10.00,M,CLR,M,M
80,CGE,2014-01-01 02:02,37.40,47.80,8.1,M,0.0,10.00,M,CLR,M,M
81,FME,2014-01-01 02:03,28.40,68.61,3.5,M,0.0,10.00,M,CLR,M,M
82,W29,2014-01-01 02:03,33.80,51.04,10.4,M,0.0,10.00,M,CLR,M,M
83,GAI,2014-01-01 02:15,28.40,54.31,3.5,M,0.0,10.00,M,CLR,M,M
84,2G4,2014-01-01 02:20,19.40,79.16,9.2,M,0.0,10.00,21.9,CLR,M,M
85,CGS,2014-01-01 02:20,33.98,46.51,4.6,M,0.0,10.00,M,CLR,M,M
86,FDK,2014-01-01 02:20,30.20,63.75,3.5,M,0.0,10.00,M,CLR,M,M
87,DMW,2014-01-01 02:20,26.60,58.49,9.2,M,0.0,10.00,M,CLR,M,M
88,FME,2014-01-01 02:21,28.40,68.61,0.0,M,0.0,10.00,M,CLR,M,M
89,2W6,2014-01-01 02:22,33.80,51.04,0.0,M,0.0,10.00,M,CLR,M,M
90,CGE,2014-01-01 02:22,35.60,51.33,3.5,M,0.0,10.00,M,CLR,M,M
91,W29,2014-01-01 02:23,33.80,51.04,12.7,M,0.0,10.00,16.1,CLR,M,M
92,ESN,2014-01-01 02:31,34.70,54.44,8.1,M,0.0,10.00,M,CLR,M,M
93,GAI,2014-01-01 02:35,28.40,54.31,0.0,M,0.0,10.00,M,CLR,M,M
94,2G4,2014-01-01 02:40,19.40,79.16,9.2,M,0.0,10.00,23.0,SCT,M,M
95,FDK,2014-01-01 02:40,30.20,63.75,4.6,M,0.0,10.00,M,CLR,M,M
96,CGS,2014-01-01 02:40,34.16,45.82,4.6,M,0.0,10.00,M,CLR,M,M
97,DMW,2014-01-01 02:40,26.60,58.49,9.2,M,0.0,10.00,M,SCT,M,M
98,CGE,2014-01-01 02:42,35.60,51.33,5.8,M,0.0,10.00,M,CLR,M,M
99,FME,2014-01-01 02:42,26.60,68.40,0.0,M,0.0,10.00,M,CLR,M,M
100,W29,2014-01-01 02:43,32.00,54.87,9.2,M,0.0,10.00,M,CLR,M,M
101,2W6,2014-01-01 02:43,32.00,54.87,0.0,M,0.0,10.00,M,CLR,M,M
102,MTN,2014-01-01 02:45,30.20,59.01,0.0,M,0.0,10.00,M,CLR,M,M
103,ESN,2014-01-01 02:51,33.98,56.02,8.1,M,0.0,10.00,M,CLR,M,M
104,NHK,2014-01-01 02:52,30.92,58.21,4.6,1026.80,0.0,10.00,M,CLR,M,M
105,NUI,2014-01-01 02:53,35.06,49.30,0.0,1026.60,0.0,10.00,M,CLR,M,M
106,OXB,2014-01-01 02:53,30.02,60.38,0.0,1026.70,0.0,10.00,M,CLR,M,M
107,HGR,2014-01-01 02:53,28.04,52.57,6.9,1027.00,0.0,10.00,M,CLR,M,M
108,RSP,2014-01-01 02:54,21.92,62.13,16.1,M,0.0,10.00,25.3,CLR,M,M
