,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
61,BML,2014-01-01 02:20,-0.04,82.89,0.0,M,0.0,3.00,M,SCT,OVC,M
62,LEB,2014-01-01 02:21,10.04,79.62,5.8,M,0.0,10.00,M,OVC,M,M
63,LCI,2014-01-01 02:35,3.20,84.56,4.6,M,0.0,10.00,M,CLR,M,M
64,1P1,2014-01-01 02:35,0.86,88.08,0.0,M,0.0,7.00,M,SCT,SCT,SCT
65,EEN,2014-01-01 02:35,19.40,57.41,11.5,M,0.0,10.00,16.1,CLR,M,M
66,ASH,2014-01-01 02:51,16.16,83.41,0.0,1046.50,0.0,10.00,M,CLR,M,M
67,DAW,2014-01-01 02:51,6.08,82.66,4.6,1018.50,0.0,10.00,M,FEW,M,M
68,CON,2014-01-01 02:51,6.98,86.95,3.5,1019.50,0.0,10.00,M,BKN,OVC,M
69,AFN,2014-01-01 02:52,17.96,56.26,11.5,1020.10,0.0,10.00,21.9,CLR,M,M
70,BML,2014-01-01 02:52,-0.04,82.89,0.0,1018.50,0.0,10.00,M,FEW,OVC,M
71,HIE,2014-01-01 02:52,8.96,79.52,0.0,1018.60,0.0,4.00,M,BKN,OVC,M
72,LEB,2014-01-01 02:53,8.96,79.52,0.0,1020.30,0.0,10.00,M,OVC,M,M
73,MHT,2014-01-01 02:53,19.94,67.58,4.6,1021.00,0.0,10.00,M,CLR,M,M
74,MWN,2014-01-01 02:55,-9.40,100.00,50.6,M,0.0,0.00,62.1,VV ,M,M
75,1P1,2014-01-01 02:55,-0.76,85.74,0.0,M,0.0,10.00,M,CLR,M,M
76,LCI,2014-01-01 02:55,3.20,84.56,0.0,M,0.0,10.00,M,CLR,M,M
77,EEN,2014-01-01 02:55,19.40,52.89,9.2,M,0.0,10.00,18.4,CLR,M,M
78,PSM,2014-01-01 02:58,14.00,76.16,4.6,1019.20,0.0,10.00,M,CLR,M,M
79,LCI,2014-01-01 03:15,5.00,84.68,5.8,M,0.0,10.00,M,CLR,M,M
80,EEN,2014-01-01 03:15,19.40,48.69,11.5,M,0.0,10.00,23.0,CLR,M,M
81,1P1,2014-01-01 03:15,-2.02,87.16,0.0,M,0.0,10.00,M,SCT,SCT,BKN
82,HIE,2014-01-01 03:31,8.96,79.52,4.6,M,0.0,10.00,M,SCT,BKN,M
83,EEN,2014-01-01 03:35,19.40,48.69,12.7,M,0.0,10.00,18.4,CLR,M,M
84,LCI,2014-01-01 03:35,5.00,84.68,5.8,M,0.0,10.00,M,CLR,M,M
85,1P1,2014-01-01 03:35,-2.20,84.91,0.0,M,0.0,10.00,M,SCT,SCT,SCT
86,HIE,2014-01-01 03:45,10.04,75.77,3.5,M,0.0,2.50,M,BKN,BKN,M
87,BML,2014-01-01 03:49,-2.20,77.14,0.0,M,0.0,10.00,M,OVC,M,M
88,ASH,2014-01-01 03:51,20.12,56.59,0.0,1047.30,0.0,10.00,M,CLR,M,M
89,CON,2014-01-01 03:51,6.98,86.95,0.0,1020.40,0.0,10.00,M,SCT,BKN,OVC
90,DAW,2014-01-01 03:51,12.02,79.79,5.8,1019.20,0.0,10.00,M,SCT,M,M
91,BML,2014-01-01 03:52,-2.92,78.43,3.5,1018.60,0.0,10.00,M,OVC,M,M
92,AFN,2014-01-01 03:52,17.06,55.66,6.9,1021.00,0.0,10.00,M,SCT,M,M
93,HIE,2014-01-01 03:52,10.04,79.62,3.5,1019.00,0.0,1.50,M,OVC,M,M
94,LEB,2014-01-01 03:53,1.04,74.83,0.0,1021.10,0.0,10.00,M,BKN,M,M
95,MHT,2014-01-01 03:53,21.02,54.03,8.1,1021.70,0.0,10.00,M,CLR,M,M
96,MWN,2014-01-01 03:54,-9.40,100.00,48.3,M,0.0,0.00,57.5,VV ,M,M
97,LCI,2014-01-01 03:55,5.00,84.68,5.8,M,0.0,10.00,M,CLR,M,M
98,1P1,2014-01-01 03:55,-1.84,86.42,0.0,M,0.0,10.00,M,CLR,M,M
99,EEN,2014-01-01 03:55,19.40,48.69,6.9,M,0.0,10.00,M,CLR,M,M
100,PSM,2014-01-01 03:58,12.92,76.68,4.6,1020.20,0.0,10.00,M,FEW,M,M
101,BML,2014-01-01 04:14,-4.00,82.58,0.0,M,0.0,10.00,M,OVC,M,M
102,LCI,2014-01-01 04:15,5.00,84.68,8.1,M,0.0,10.00,M,CLR,M,M
103,EEN,2014-01-01 04:15,19.40,48.69,10.4,M,0.0,10.00,M,CLR,M,M
104,1P1,2014-01-01 04:15,-3.64,85.55,0.0,M,0.0,10.00,M,CLR,M,M
105,HIE,2014-01-01 04:20,10.94,80.35,3.5,M,0.0,0.75,M,VV ,M,M
106,EEN,2014-01-01 04:35,19.40,44.79,10.4,M,0.0,10.00,18.4,CLR,M,M
107,1P1,2014-01-01 04:35,-4.18,84.03,0.0,M,0.0,10.00,M,CLR,M,M
108,LCI,2014-01-01 04:35,6.80,84.80,5.8,M,0.0,10.00,M,CLR,M,M
109,BML,2014-01-01 04:43,-2.92,78.43,0.0,M,0.0,4.00,M,OVC,M,M
110,HIE,2014-01-01 04:46,10.40,85.05,0.0,M,0.0,1.25,M,OVC,M,M
111,CON,2014-01-01 04:51,8.96,87.79,5.8,1020.90,0.0,10.00,M,CLR,M,M
112,DAW,2014-01-01 04:51,12.02,79.79,0.0,1019.90,0.0,10.00,M,CLR,M,M
113,ASH,2014-01-01 04:51,20.12,51.29,0.0,1048.10,0.0,10.00,M,CLR,M,M
114,BML,2014-01-01 04:52,-5.08,82.50,0.0,1018.90,0.0,5.00,M,OVC,M,M
115,AFN,2014-01-01 04:52,15.98,55.95,3.5,1021.70,0.0,10.00,M,SCT,M,M
116,HIE,2014-01-01 04:52,10.04,83.64,3.5,1019.20,0.0,2.50,M,OVC,M,M
117,MHT,2014-01-01 04:53,19.94,54.30,6.9,1022.60,0.0,10.00,M,CLR,M,M
118,LEB,2014-01-01 04:53,-2.02,78.52,0.0,1021.30,0.0,10.00,M,CLR,M,M
119,MWN,2014-01-01 04:54,-11.20,100.00,41.4,M,0.0,0.00,51.8,VV ,M,M
120,EEN,2014-01-01 04:55,19.40,44.79,8.1,M,0.0,10.00,M,CLR,M,M
121,LCI,2014-01-01 04:55,5.00,77.84,4.6,M,0.0,10.00,M,CLR,M,M
122,1P1,2014-01-01 04:55,-5.08,86.21,0.0,M,0.0,10.00,M,CLR,M,M
123,PSM,2014-01-01 04:58,14.72,75.01,5.8,1020.80,0.0,10.00,M,CLR,M,M
124,HIE,2014-01-01 04:59,10.04,79.62,3.5,M,0.0,5.00,M,BKN,BKN,M
125,HIE,2014-01-01 05:10,10.94,80.35,5.8,M,0.0,10.00,M,SCT,BKN,M
126,LCI,2014-01-01 05:15,5.00,84.68,0.0,M,0.0,10.00,M,FEW,M,M
127,EEN,2014-01-01 05:15,17.60,48.39,6.9,M,0.0,10.00,M,CLR,M,M
128,1P1,2014-01-01 05:15,-5.26,85.45,0.0,M,0.0,10.00,M,CLR,M,M
129,BML,2014-01-01 05:16,-2.92,81.95,0.0,M,0.0,1.75,M,OVC,M,M
130,BML,2014-01-01 05:33,-2.92,81.95,0.0,M,0.0,3.00,M,OVC,M,M
131,EEN,2014-01-01 05:35,17.60,48.39,5.8,M,0.0,10.00,M,CLR,M,M
132,1P1,2014-01-01 05:35,-5.80,83.91,0.0,M,0.0,10.00,M,CLR,M,M
133,LCI,2014-01-01 05:35,3.20,84.56,0.0,M,0.0,10.00,M,FEW,SCT,M
134,ASH,2014-01-01 05:51,19.04,51.54,0.0,1048.50,0.0,10.00,M,CLR,M,M
135,MWN,2014-01-01 05:51,-11.20,100.00,40.3,M,0.0,0.00,61.0,VV ,M,M
136,CON,2014-01-01 05:51,12.92,76.68,6.9,1021.50,0.0,10.00,M,CLR,M,M
137,DAW,2014-01-01 05:51,15.08,76.27,4.6,1020.60,0.0,10.00,M,CLR,M,M
138,BML,2014-01-01 05:52,-4.00,78.33,0.0,1019.40,0.0,6.00,M,OVC,M,M
139,HIE,2014-01-01 05:52,8.06,87.02,0.0,1019.80,0.0,10.00,M,FEW,BKN,M
140,AFN,2014-01-01 05:52,15.08,55.35,6.9,1021.60,0.0,10.00,M,CLR,M,M
141,MHT,2014-01-01 05:53,19.94,51.68,6.9,1023.00,0.0,10.00,M,CLR,M,M
142,LEB,2014-01-01 05:53,-0.94,82.11,0.0,1021.80,0.0,10.00,M,SCT,M,M
143,1P1,2014-01-01 05:55,-6.52,84.61,0.0,M,0.0,10.00,M,SCT,SCT,M
144,EEN,2014-01-01 05:55,15.80,52.31,4.6,M,0.0,10.00,M,CLR,M,M
145,LCI,2014-01-01 05:55,5.00,84.68,3.5,M,0.0,5.00,M,FEW,SCT,BKN
146,PSM,2014-01-01 05:58,17.06,65.06,5.8,1021.50,0.0,10.00,M,CLR,M,M
147,BML,2014-01-01 05:59,-5.08,82.50,0.0,M,0.0,7.00,M,FEW,OVC,M
148,LCI,2014-01-01 06:15,6.80,78.01,5.8,M,0.0,9.00,M,FEW,FEW,BKN
149,1P1,2014-01-01 06:15,-5.98,83.90,0.0,M,0.0,10.00,M,SCT,BKN,OVC
150,EEN,2014-01-01 06:15,15.80,52.31,4.6,M,0.0,10.00,M,CLR,M,M
151,BML,2014-01-01 06:18,-5.98,82.42,0.0,M,0.0,10.00,M,SCT,M,M
152,1P1,2014-01-01 06:35,-4.90,84.72,0.0,M,0.0,5.00,M,SCT,BKN,OVC
153,LCI,2014-01-01 06:35,8.60,84.93,3.5,M,0.0,10.00,M,BKN,BKN,M
154,EEN,2014-01-01 06:35,14.00,56.58,3.5,M,0.0,10.00,M,CLR,M,M
155,DAW,2014-01-01 06:51,10.04,83.64,0.0,1021.00,0.0,10.00,M,CLR,M,M
156,CON,2014-01-01 06:51,10.94,76.49,5.8,1022.00,0.0,10.00,M,CLR,M,M
157,ASH,2014-01-01 06:51,18.14,53.57,3.5,1049.10,0.0,10.00,M,CLR,M,M
158,AFN,2014-01-01 06:52,14.00,55.64,4.6,1022.20,0.0,10.00,M,CLR,M,M
159,HIE,2014-01-01 06:52,8.06,82.81,4.6,1020.60,0.0,10.00,M,BKN,OVC,M
160,BML,2014-01-01 06:52,-7.06,78.74,0.0,1020.40,0.0,10.00,M,BKN,M,M
161,LEB,2014-01-01 06:53,1.94,75.57,0.0,1022.20,0.0,10.00,M,CLR,M,M
162,MHT,2014-01-01 06:53,17.96,53.54,5.8,1023.70,0.0,10.00,M,CLR,M,M
163,MWN,2014-01-01 06:53,-13.00,100.00,49.5,M,0.0,0.00,59.8,VV ,M,M
